=== ТУРНИР: SMART VS PRIMITIVE (ТОЧНОЕ ВРЕМЯ) ===

--- ПАРТИЯ #1 ---
Ход 45  | SMART(W): [0,0]->[0,1] | Осталось: 16 сек
Ход 46  | PRIM(B) : [4,1]->[3,0] | Осталось: 240 сек
Ход 47  | SMART(W): [0,1]->[0,0] | Осталось: 16 сек
Ход 48  | PRIM(B) : [3,0]->[7,4] | Осталось: 240 сек
Ход 49  | SMART(W): [0,0]->[0,1] | Осталось: 16 сек
Ход 50  | PRIM(B) : [7,4]->[4,1] | Осталось: 240 сек
Ход 51  | SMART(W): [0,1]->[0,0] | Осталось: 16 сек
Ход 52  | PRIM(B) : [4,1]->[0,5] | Осталось: 240 сек
Ход 53  | SMART(W): [0,0]->[0,1] | Осталось: 16 сек
Ход 54  | PRIM(B) : [0,5]->[1,6] | Осталось: 240 сек
Ход 55  | SMART(W): [0,1]->[0,0] | Осталось: 16 сек
Ход 56  | PRIM(B) : [1,6]->[7,0] | Осталось: 240 сек
Ход 57  | SMART(W): [0,0]->[0,1] | Осталось: 15 сек
Ход 58  | PRIM(B) : [7,0]->[3,4] | Осталось: 240 сек
Ход 59  | SMART(W): [0,1]->[0,0] | Осталось: 15 сек
Ход 60  | PRIM(B) : [3,4]->[1,6] | Осталось: 240 сек
Ход 61  | SMART(W): [0,0]->[0,1] | Осталось: 15 сек
Ход 62  | PRIM(B) : [1,6]->[2,7] | Осталось: 240 сек
Ход 63  | SMART(W): [0,1]->[0,0] | Осталось: 15 сек
Ход 64  | PRIM(B) : [2,7]->[7,2] | Осталось: 240 сек
Ход 65  | SMART(W): [0,0]->[0,1] | Осталось: 15 сек
Ход 66  | PRIM(B) : [7,2]->[6,1] | Осталось: 240 сек
Ход 67  | SMART(W): [0,1]->[0,0] | Осталось: 15 сек
Ход 68  | PRIM(B) : [6,1]->[3,4] | Осталось: 240 сек
Ход 69  | SMART(W): [0,0]->[0,1] | Осталось: 15 сек
Ход 70  | PRIM(B) : [3,4]->[1,6] | Осталось: 240 сек
Ход 71  | SMART(W): [0,1]->[0,0] | Осталось: 15 сек
Ход 72  | PRIM(B) : [1,6]->[2,7] | Осталось: 240 сек
Ход 73  | SMART(W): [0,0]->[0,1] | Осталось: 15 сек
Ход 74  | PRIM(B) : [2,7]->[3,6] | Осталось: 240 сек
Ход 75  | SMART(W): [0,1]->[0,0] | Осталось: 15 сек
Ход 76  | PRIM(B) : [3,6]->[6,3] | Осталось: 240 сек
Ход 77  | SMART(W): [0,0]->[0,1] | Осталось: 15 сек
Ход 78  | PRIM(B) : [6,3]->[3,6] | Осталось: 240 сек
Ход 79  | SMART(W): [0,1]->[0,0] | Осталось: 15 сек
Ход 80  | PRIM(B) : [3,6]->[4,7] | Осталось: 239 сек
Ход 81  | SMART(W): [0,0]->[0,1] | Осталось: 15 сек
Ход 82  | PRIM(B) : [4,7]->[2,5] | Осталось: 239 сек
Ход 83  | SMART(W): [0,1]->[0,0] | Осталось: 14 сек
Ход 84  | PRIM(B) : [2,5]->[4,7] | Осталось: 239 сек
Ход 85  | SMART(W): [0,0]->[0,1] | Осталось: 14 сек
Ход 86  | PRIM(B) : [4,7]->[6,5] | Осталось: 239 сек
Ход 87  | SMART(W): [0,1]->[0,0] | Осталось: 14 сек
Ход 88  | PRIM(B) : [6,5]->[4,3] | Осталось: 239 сек
Ход 89  | SMART(W): [0,0]->[0,1] | Осталось: 14 сек
Ход 90  | PRIM(B) : [4,3]->[5,4] | Осталось: 239 сек
Ход 91  | SMART(W): [0,1]->[0,0] | Осталось: 14 сек
Ход 92  | PRIM(B) : [5,4]->[2,1] | Осталось: 239 сек
Ход 93  | SMART(W): [0,0]->[0,1] | Осталось: 14 сек
Ход 94  | PRIM(B) : [2,1]->[4,3] | Осталось: 239 сек
Ход 95  | SMART(W): [0,1]->[0,0] | Осталось: 14 сек
Ход 96  | PRIM(B) : [4,3]->[2,5] | Осталось: 239 сек
Ход 97  | SMART(W): [0,0]->[0,1] | Осталось: 14 сек
Ход 98  | PRIM(B) : [2,5]->[7,0] | Осталось: 239 сек
Ход 99  | SMART(W): [0,1]->[0,0] | Осталось: 14 сек
Ход 100 | PRIM(B) : [7,0]->[4,3] | Осталось: 239 сек
